Producto,Codígo de Barras,Precio
YERBA LA MERCED DE CAMPO X 500 GR.-     ,7790387120356,4041.240966796875
YERBA LA MERCED DE CAMPO X 500 GR.-     ,11313,4041.240966796875
YERBA CAMPECHE X 500 GR,7790411000241,1603.2239990234375
YERBA CAMPECHE X 500GR. -10-       ,7790411000241,1603.2239990234375
AJI PICANTE,2010690000000,4425.33984375
AJI PICANTE <1069>,2010690000000,4425.33984375
AJI PICANTE <1069>,2410690000000,4425.33984375
YERBA PRIMICIA X 500 GR,7793784000016,1415.6939697265625
YERBA PRIMICIA X 500GR.-10-        ,7793784000016,1415.6939697265625
YERBA PRIMICIA X 500GR.-10-        ,10728,1415.6939697265625
YERBA PRIMICIA X 1 KG,7793784000023,2760.321044921875
YERBA PRIMICIA X1 KG.-8-           ,7793784000023,2760.321044921875
YERBA PRIMICIA X1 KG.-8-           ,10729,2760.321044921875
YERBA CAMPECHE X 1 KG.-,7790411000234,2479.256103515625
YERBA CAMPECHE X 1KG. -10-         ,7779041000234,2479.256103515625
YERBA CAMPECHE X 1KG. -10-         ,7790411000234,2479.256103515625
GUIGNARD 55G            ,7796016000341,1074.2979736328125
HIERBAS GUIGNARD ANIS ESTRELLADO   ,14006,1074.2979736328125
HIERBAS GUIGNARD ANIS ESTRELLADO   ,7796016000341,1074.2979736328125
GUIGNARD 55G            ,7796016000198,1074.2979736328125
HIERBAS GUIGNARD TILO 55GR         ,14007,1074.2979736328125
HIERBAS GUIGNARD TILO 55GR         ,7796016000198,1074.2979736328125
GUIGNARD 55G            ,7796016000235,1074.2979736328125
HIERBAS GUIGNARD MALVA PERUANA 55GR,14008,1074.2979736328125
HIERBAS GUIGNARD MALVA PERUANA 55GR,7796016000235,1074.2979736328125
SHAMPOO ELVIVE X 400,7509552859126,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7509552790498,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7509552790528,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7509552859126,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7509552861037,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7509552908459,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7509552914511,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7509552925890,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7898587774888,4578.43017578125
SHAMPOO ELVIVE OLEO EXTRAORDINARIO X 400,7898587774987,4578.43017578125
GUIGNARD 55G            ,7796016000358,1074.2979736328125
HIERBAS GUIGNARD ENELDO SEMILLAS   ,14009,1074.2979736328125
HIERBAS GUIGNARD ENELDO SEMILLAS   ,7796016000358,1074.2979736328125
GUIGNARD 55G            ,7796016000044,1074.2979736328125
HIERBAS GUIGNARD REDUCTOR COLESTERO,14012,1074.2979736328125
HIERBAS GUIGNARD REDUCTOR COLESTERO,7796016000044,1074.2979736328125
GUIGNARD 55G            ,7796016000334,1074.2979736328125
HIERBAS GUIGNARD TORONGIL CORAZON  ,14013,1074.2979736328125
HIERBAS GUIGNARD TORONGIL CORAZON  ,7796016000334,1074.2979736328125
GUIGNARD 55G            ,7796016000228,1074.2979736328125
HIERBAS GUIGNARD MENTA             ,14014,1074.2979736328125
HIERBAS GUIGNARD MENTA             ,7796016000228,1074.2979736328125
GUIGNARD 55G            ,7796016000327,1074.2979736328125
HIERBAS GUIGNARD COLA DE QUIRQUINCH,14015,1074.2979736328125
HIERBAS GUIGNARD COLA DE QUIRQUINCH,7796016000327,1074.2979736328125
GUIGNARD 55G            ,7796016000075,1074.2979736328125
HIERBAS GUIGNARD ACIDEZ DUODENO    ,14016,1074.2979736328125
HIERBAS GUIGNARD ACIDEZ DUODENO    ,7796016000075,1074.2979736328125
GUIGNARD 55G            ,7796016000105,1074.2979736328125
HIERBAS GUIGNARD VESICULA          ,14017,1074.2979736328125
HIERBAS GUIGNARD VESICULA          ,7796016000105,1074.2979736328125
GUIGNARD 55G            ,7796016000297,1074.2979736328125
HIERBAS GUIGNARD BARBA DE CHOCLO   ,14018,1074.2979736328125
HIERBAS GUIGNARD BARBA DE CHOCLO   ,7796016000297,1074.2979736328125
GUIGNARD 55G            ,7796016000181,1074.2979736328125
HIERBAS GUIGNARD CARNICERA ULCERAS ,14019,1074.2979736328125
